,Unnamed: 0,COW,Old Coup ID#,New Coup ID#,country,month,day,year,coup_id,event,Milan Description,realized,Unrealized,Removed/ Targeted Name,Removed Title/ Position,Initiator/ Suspected,Ascended Name/ Suspected,Ascended/ Suspected Title/ Position,Event Summary,iso2,continent,datetime,date
0,1,700.0,70031063,70003101963.0,Afghanistan,3,10,1963,Coup,coup,coup,Yes,0.0,Sardar Mohammad Daoud,prime minister,Zahir Shah,King Mohammud Zahir Shah,royal ruler,A policy dispute resulted in the forced resignation of the prime minister and direct rule of the royality under Zahir Shah.,AF,AS,1963-03-01,1963-3
1,2,700.0,70071773,70007171973.0,Afghanistan,7,17,1973,Coup,coup,coup,Yes,0.0,King Mohammud Zahir Shah,royal ruler,General Mohammud Daoud Khan,General Mohammud Daoud Khan,president,General Mohammud Daoud Khan overthrew the monarchy in a military coup,AF,AS,1973-07-01,1973-7
2,3,700.0,70092073,70009201973.0,Afghanistan,9,20,1973,0,attempted coup,0,No,1.0,General Mohammud Daoud Khan,president,"Mohammed Maiwandwal, Gen. Abdul Razak, Gen. Khan Mohammed",.,.,Former Prime Minister Maiwandwal and several military officers attempted to overthrow the government. It is unclear if they wanted to destroy the republic or the monarchy before it. It is widely believed Maiwandwal was tortured to death before his trial for the attempt.,AF,AS,1973-09-01,1973-9
3,4,700.0,700113073,70011301973.0,Afghanistan,11,30,1973,0,attempted coup,0,No,1.0,General Mohammud Daoud Khan,president,Gen. Mir Ahmed Shah,.,.,A General Mir Ahmed Shah attempted a coup against President Khan. The reasons and consequences are not known.,AF,AS,1973-11-01,1973-11
4,5,700.0,70012.1973,70012001973.0,Afghanistan,12,0,1973,0,attempted coup,0,No,1.0,General Mohammud Daoud Khan,president,not specified,.,.,Unspecified individuals attempted to overthrow President Khan. Their reasons and the consequences for the attempt is not known.,AF,AS,1973-12-01,1973-12
5,6,700.0,70042778,70004271978.0,Afghanistan,4,27,1978,Coup,coup,coup,Yes,0.0,President Mohammud Daoud Khan,president/dictator,Revolutionary Military/People's Democratic Party of Afghanistan,Nur Mohammud Taraki,party secretary,Revolutionary military forces backing the Communist People's Democratic Party of Afghanistan stages a violent military coup which resulted in the overthrow and assassination of President Khan. A new regime under the control of Nur Mohammad and his PDPA took over.,AF,AS,1978-04-01,1978-4
6,7,700.0,70032779,70003271979.0,Afghanistan,3,27,1979,Civil War,coup,civil war,Yes,0.0,Nur Mohammud Taraki,party secretary,Soviet forces,President Hafizullah Amin,president,"As the civil war in Afghanistan grew in intensity, the Soviet-led authority forced Nur out of the executive because it was felt that he was not doing enough to stem the insurgency.",AF,AS,1979-03-01,1979-3
7,8,700.0,700101579,70010151979.0,Afghanistan,10,15,1979,0,attempted coup,0,No,1.0,President Hafizullah Amin,president,unspecified,.,.,Unspecified individuals attempted to oust President Amin. The reasons and consequences are not know.,AF,AS,1979-10-01,1979-10
8,9,700.0,700122779,70012271979.0,Afghanistan,12,27,1979,Foreign,coup,foreign,Yes,0.0,President Hafizullah Amin,president,Soviet Union armed forces,Babrak Kamal,president,"After suffering a strain in relations, the Soviet Union carried out a coup against President Amin and replaced him with a more willing puppet Kamal",AF,AS,1979-12-01,1979-12
9,10,700.0,7001.1987,70001001987.0,Afghanistan,1,0,1987,0,conspiracy coup,0,No,1.0,Babrak Kamal,president,supporters of Karmal,.,.,Supporters of Karmal allegedly conspired to betray and overthrow him. The specific reasoning and the consequences are not known.,AF,AS,1987-01-01,1987-1
10,11,700.0,70071589,70007151989.0,Afghanistan,7,15,1989,0,attempted coup,0,No,1.0,President mohammud najibullah,president,Defense minister shahnawaz tanai,.,.,An explosive device detonates near the presidential palace in Kabul stoking fears of a coup attempt by Defense Minister Tanai against President Najibullah,AF,AS,1989-07-01,1989-7
11,12,700.0,7003.199,70003001990.0,Afghanistan,3,0,1990,0,attempted coup,0,No,1.0,President mohammud najibullah,president,mujihadden/exiled minister shahnawaz tanai,.,.,An exiled Tanai enlisted the aid of a rogue mujihadden commander to seize power from President Najibullah with the aid of Afghan Army officers. The army officers did not rebel as expected and the coup collapsed,AF,AS,1990-03-01,1990-3
12,13,700.0,70041692,70004161992.0,Afghanistan,4,16,1992,Civil War,coup,civil war,Yes,0.0,President mohammud najibullah,president,Mujihadden/Islamic Rebels/Insurgents,.,.,President Najibullah and much of the Afghan government were defeated during the siege of Kabul carried out by Islamic insurgents. His regime was temporarily replaced his Vice President before the final capitulation a few weeks later.,AF,AS,1992-04-01,1992-4
13,14,700.0,70062892,70006281992.0,Afghanistan,6,28,1992,Civil War,coup,civil war,Yes,0.0,President Mojadidi,president,Islamic Insurgents,.,.,Battles between Islamic insurgents force President Mojadidi to resign,AF,AS,1992-06-01,1992-6
14,15,700.0,70012895,70001281995.0,Afghanistan,1,28,1995,0,conspiracy coup,0,No,1.0,President Rabbani,president,Armed forces/Prime Minister,.,.,"A conspiracy involving elements of the armed forces, current and former government officials threatened to depose President Rabbani but Intelligence Agents and Presidential Guards disrupted the plot and arrested the plotters.",AF,AS,1995-01-01,1995-1
15,16,700.0,70092796,70009271996.0,Afghanistan,9,27,1996,Civil War,coup,civil war,Yes,0.0,President Rabbani,president,Taliban/Insurgent LeaderMahammud Omar,Mahammud Omar,Head of the Supreme Council,Taliban insurgents seize Kabul and force the government of Rabanni to flee. A new de facto regime led by Omar enforces strict Islamic rule,AF,AS,1996-09-01,1996-9
16,17,700.0,700111301,70011132001.0,Afghanistan,11,13,2001,Foreign,coup,foreign,Yes,0.0,Mahammud Omar,religious leader,Northern Alliance/US Military,.,.,The Northern Alliance insurgents backed by US military aircraft and special forces seize control of Kabul forcing Omar and the Taliban into hiding.,AF,AS,2001-11-01,2001-11
17,18,700.0,7004402,70004042002.0,Afghanistan,4,4,2002,0,attempted coup,0,No,1.0,Hamid Karzi,President,supporters of Gulbuddin Hekmatyar,.,.,"Supporters of Gulbuddin Hekmatyar, an islamic scholar loosely allied with the Taliban and Al Qaeda, attempted to overthrow the Hamid Karzi transitional government. The consequences behind the attempt are not known.",AF,AS,2002-04-01,2002-4
18,19,339.0,3399946,33909091946.0,Albania,9,9,1946,0,conspiracy coup,0,No,1.0,Enver Hoxha,party secretary/chairman/entire government,Anti-communists/reactionaries/US and UK forces,.,.,A conspiracy involving anti-communist elements acting with US and UK aid and forces aimed to remove the remove the communist Hoxha regime was broken up.,AL,EU,1946-09-01,1946-9
19,20,339.0,33991398,33909131998.0,Albania,9,13,1998,0,attempted coup,0,No,1.0,Rexhep Merdani/Fatos Nano,president/prime minister,supporters of Berisha,.,.,The supporters of parliamentary opposition leader Sali Berisha attempted a coup against the government with goal of murdering Fatos and taking power. The armed attempt forced Fatos to temporarily flee. Eventually the rioting and violence was quelled. The consequences are unknown.,AL,EU,1998-09-01,1998-9
20,21,615.0,61511154,61511011954.0,Algeria,11,1,1954,0,attempted coup,0,No,1.0,French Colonial Authorities,Colonial Government,National Liberation Front Insurgents,.,.,"The National Liberation Front of Algeria launches a rebellion with the aim overthrowing the French colonial authority. What was invisioned as a quick siezure of power, degenerated into a lengthy civil war.",DZ,AF,1954-11-01,1954-11
