,COW,Old Coup ID#,New Coup ID#,country,Month,Day,Year,Coup ID Type,Description of Event,Milan Description,Realized,Unrealized,Removed/ Targeted Name,Removed Title/ Position,Initiator/ Suspected,Ascended Name/ Suspected,Ascended/ Suspected Title/ Position,Event Summary,iso2,continent,datetime
1,700,70031063,70003101963,Afghanistan,3,10,1963,Coup,Coup,coup,1,0,Sardar Mohammad Daoud,prime minister,Zahir Shah,King Mohammud Zahir Shah,royal ruler,A policy dispute resulted in the forced resignation of the prime minister and direct rule of the royality under Zahir Shah.,AF,AS,3/10.0/1963.0
2,700,70071773,70007171973,Afghanistan,7,17,1973,Coup,Coup,coup,1,0,King Mohammud Zahir Shah,royal ruler,General Mohammud Daoud Khan,General Mohammud Daoud Khan,president,General Mohammud Daoud Khan overthrew the monarchy in a military coup,AF,AS,7/17.0/1973.0
3,700,70092073,70009201973,Afghanistan,9,20,1973,0,Attempted Coup,0,0,1,General Mohammud Daoud Khan,president,"Mohammed Maiwandwal, Gen. Abdul Razak, Gen. Khan Mohammed",.,.,Former Prime Minister Maiwandwal and several military officers attempted to overthrow the government. It is unclear if they wanted to destroy the republic or the monarchy before it. It is widely believed Maiwandwal was tortured to death before his trial for the attempt.,AF,AS,9/20.0/1973.0
4,700,700113073,70011301973,Afghanistan,11,30,1973,0,Attempted Coup,0,0,1,General Mohammud Daoud Khan,president,Gen. Mir Ahmed Shah,.,.,A General Mir Ahmed Shah attempted a coup against President Khan. The reasons and consequences are not known.,AF,AS,11/30.0/1973.0
5,700,70012.1973,70012001973,Afghanistan,12,0,1973,0,Attempted Coup,0,0,1,General Mohammud Daoud Khan,president,not specified,.,.,Unspecified individuals attempted to overthrow President Khan. Their reasons and the consequences for the attempt is not known.,AF,AS,12/0.0/1973.0
6,700,70042778,70004271978,Afghanistan,4,27,1978,Coup,Coup,coup,1,0,President Mohammud Daoud Khan,president/dictator,Revolutionary Military/People's Democratic Party of Afghanistan,Nur Mohammud Taraki,party secretary,Revolutionary military forces backing the Communist People's Democratic Party of Afghanistan stages a violent military coup which resulted in the overthrow and assassination of President Khan. A new regime under the control of Nur Mohammad and his PDPA took over.,AF,AS,4/27.0/1978.0
7,700,70032779,70003271979,Afghanistan,3,27,1979,Civil War,Coup,civil war,1,0,Nur Mohammud Taraki,party secretary,Soviet forces,President Hafizullah Amin,president,"As the civil war in Afghanistan grew in intensity, the Soviet-led authority forced Nur out of the executive because it was felt that he was not doing enough to stem the insurgency.",AF,AS,3/27.0/1979.0
8,700,700101579,70010151979,Afghanistan,10,15,1979,0,Attempted Coup,0,0,1,President Hafizullah Amin,president,unspecified,.,.,Unspecified individuals attempted to oust President Amin. The reasons and consequences are not know.,AF,AS,10/15.0/1979.0
9,700,700122779,70012271979,Afghanistan,12,27,1979,Foreign,Coup,foreign,1,0,President Hafizullah Amin,president,Soviet Union armed forces,Babrak Kamal,president,"After suffering a strain in relations, the Soviet Union carried out a coup against President Amin and replaced him with a more willing puppet Kamal",AF,AS,12/27.0/1979.0
10,700,7001.1987,70001001987,Afghanistan,1,0,1987,0,Conspiracy Coup,0,0,1,Babrak Kamal,president,supporters of Karmal,.,.,Supporters of Karmal allegedly conspired to betray and overthrow him. The specific reasoning and the consequences are not known.,AF,AS,1/0.0/1987.0
11,700,70071589,70007151989,Afghanistan,7,15,1989,0,Attempted Coup,0,0,1,President mohammud najibullah,president,Defense minister shahnawaz tanai,.,.,An explosive device detonates near the presidential palace in Kabul stoking fears of a coup attempt by Defense Minister Tanai against President Najibullah,AF,AS,7/15.0/1989.0
12,700,7003.199,70003001990,Afghanistan,3,0,1990,0,Attempted Coup,0,0,1,President mohammud najibullah,president,mujihadden/exiled minister shahnawaz tanai,.,.,An exiled Tanai enlisted the aid of a rogue mujihadden commander to seize power from President Najibullah with the aid of Afghan Army officers. The army officers did not rebel as expected and the coup collapsed,AF,AS,3/0.0/1990.0
13,700,70041692,70004161992,Afghanistan,4,16,1992,Civil War,Coup,civil war,1,0,President mohammud najibullah,president,Mujihadden/Islamic Rebels/Insurgents,.,.,President Najibullah and much of the Afghan government were defeated during the siege of Kabul carried out by Islamic insurgents. His regime was temporarily replaced his Vice President before the final capitulation a few weeks later.,AF,AS,4/16.0/1992.0
14,700,70062892,70006281992,Afghanistan,6,28,1992,Civil War,Coup,civil war,1,0,President Mojadidi,president,Islamic Insurgents,.,.,Battles between Islamic insurgents force President Mojadidi to resign,AF,AS,6/28.0/1992.0
15,700,70012895,70001281995,Afghanistan,1,28,1995,0,Conspiracy Coup,0,0,1,President Rabbani,president,Armed forces/Prime Minister,.,.,"A conspiracy involving elements of the armed forces, current and former government officials threatened to depose President Rabbani but Intelligence Agents and Presidential Guards disrupted the plot and arrested the plotters.",AF,AS,1/28.0/1995.0
16,700,70092796,70009271996,Afghanistan,9,27,1996,Civil War,Coup,civil war,1,0,President Rabbani,president,Taliban/Insurgent LeaderMahammud Omar,Mahammud Omar,Head of the Supreme Council,Taliban insurgents seize Kabul and force the government of Rabanni to flee. A new de facto regime led by Omar enforces strict Islamic rule,AF,AS,9/27.0/1996.0
17,700,700111301,70011132001,Afghanistan,11,13,2001,Foreign,Coup,foreign,1,0,Mahammud Omar,religious leader,Northern Alliance/US Military,.,.,The Northern Alliance insurgents backed by US military aircraft and special forces seize control of Kabul forcing Omar and the Taliban into hiding.,AF,AS,11/13.0/2001.0
18,700,7004402,70004042002,Afghanistan,4,4,2002,0,Attempted Coup,0,0,1,Hamid Karzi,President,supporters of Gulbuddin Hekmatyar,.,.,"Supporters of Gulbuddin Hekmatyar, an islamic scholar loosely allied with the Taliban and Al Qaeda, attempted to overthrow the Hamid Karzi transitional government. The consequences behind the attempt are not known.",AF,AS,4/4.0/2002.0
19,339,3399946,33909091946,Albania,9,9,1946,0,Conspiracy Coup,0,0,1,Enver Hoxha,party secretary/chairman/entire government,Anti-communists/reactionaries/US and UK forces,.,.,A conspiracy involving anti-communist elements acting with US and UK aid and forces aimed to remove the remove the communist Hoxha regime was broken up.,AL,EU,9/9.0/1946.0
20,339,33991398,33909131998,Albania,9,13,1998,0,Attempted Coup,0,0,1,Rexhep Merdani/Fatos Nano,president/prime minister,supporters of Berisha,.,.,The supporters of parliamentary opposition leader Sali Berisha attempted a coup against the government with goal of murdering Fatos and taking power. The armed attempt forced Fatos to temporarily flee. Eventually the rioting and violence was quelled. The consequences are unknown.,AL,EU,9/13.0/1998.0
21,615,61511154,61511011954,Algeria,11,1,1954,0,Attempted Coup,0,0,1,French Colonial Authorities,Colonial Government,National Liberation Front Insurgents,.,.,"The National Liberation Front of Algeria launches a rebellion with the aim overthrowing the French colonial authority. What was invisioned as a quick siezure of power, degenerated into a lengthy civil war.",DZ,AF,11/1.0/1954.0
22,615,61551458,61505141958,Algeria,5,14,1958,Foreign,Coup,0,1,0,French Colonial Authorities,Colonial Government,Military,Massu,General/Military Junta,A group of dissident Gaullist officers led by General Massu seize control of Algeria and establish a military junta to promote the ascension of Charles De Gaulle to the French presidency.,DZ,AF,5/14.0/1958.0
23,615,61542161,61504211961,Algeria,4,21,1961,Foreign,coup,0,1,0,French Colonial Authorities,Colonial Government,General Salan and other military officers,General Salan,"Retired Generals, Active military officers, French Nationalists",A group of retired and active French military officers temporary seize control of the French Algerian Colonal Adminstration and threaten France with invasion.,DZ,AF,4/21.0/1961.0
24,615,,61504261961,Algeria,4,26,1961,Counter-Coup,Coup,0,1,0,General Salan,military junta,French civilian forces and French loyalist military forces,Civil Authorities,.,The military junta established just five days prior was forced out by a combination of local and French homeland-inspired/directed civil disobedience and military force. Civilian authorities were reinstalled after the generals surrendered.,DZ,AF,4/26.0/1961.0
